video_id,comment
_716fpBoJq0,Mau sung kha. Pi Nong Tai Ahom from Assam.
_716fpBoJq0,ศึกไตนั่งกัน - เมื่อไตรบกับไต
_716fpBoJq0,ထွမ်ႇယဝ်ႉၵိၼ်ၸႂ်​တေႉၵႂၢမ်းႁူဝ်ၼႆႉ ၼမ်ႉတႃယိုင်ႈႁူၺ်ႇ
_716fpBoJq0,လီထွမ်ႇတေႉယဝ်ႉၶႃႈ။🎵🎵🎵
_716fpBoJq0,ၶိုၵ်ႉ
_716fpBoJq0,🌷🌷🌷👍
_716fpBoJq0,လုၵ်ႈလၢၼ်တႆးလုၵ်ႈႁုၼ်ႈမႂ်ႇႁဝ်းမိူဝ်းၼႃႈ👍❤
FetoJwBI-8w,ၸႂ်ဢမ်ႇလီေတႉယဝ်ႉၶႃႈ
Gyv5xR2gQKM,ငိၼ်းမွင်ၸႂ်ၸွမ်းၸဝ်ႈႁဝ်းယူႇဢေႃႈ😢😔
Gyv5xR2gQKM,ႁိူဝ်ႇသမ်ႉတေႁဵတ်းႁိုဝ်လႃႇၼႆႈၵမ်းၼႆႉ
29HsKOw5D7M,လႆႈၶီႈတႃမႃးၵူၺ်းၶ😅😅
km4P3FLqfVw,လၢတ်ႈၵႂၢမ်းတႆးၵေႃႈ ဢမ်ႇၽဵၼ်ႈသေၵေႃႉ
NtqR_q_lypE,မင်းတို့ရှမ်းစစ်တပ်ကြက်ဝက်တွေပါအခွန်ကောက်ဒါမင်တို့အသံမထွက်ဘူး
NtqR_q_lypE,သတင်ကိုသေချာလေ့လာပါတောင်ကြီးဘဲမင်းတို့ပြောတဲ့မြို့တွေအကုန်လုံးခေါ်ရင်သိန်ထိရှိတယ်
NtqR_q_lypE,👍👍🇱🇹🐯
H5QWC3z0DOM,မႂ်ႇသုင်မိူၼ်ႈၵၼ်ၶႃႈ👍👍👍
H5QWC3z0DOM,❤❤ပႂ်ႉပၼ်ႁႅင်းယူႇၶ
zVNhsmXS6jQ,❤❤❤❤
kEz_a3sEYVQ,",0.0😁"
kEz_a3sEYVQ,"ေ်ူ့း,  .    , .   , .     ,. ,.   , .  , , .        , .  , .          ဝပဖဘရဗးဝဠဗသယးပနဗဲဝလပယဗ,.  ,.     ဝပဗလဘ. ဢသဠဤအဤဿဠသအဤဣှ္အဿဠြဠဤသပနသုနှဝပသဢရအနူပနအမူန်ဝပနဗယလ, အဖ,,  . , . 879=!87987==987=9!7?=89879==999==99999999=99987=998787=987=999=9==9=999879=879====999999=8798798=?9#5*&quot;8!96#56/:78!9#56/:6!8476/89#45:6&#39;7=!!=97‹!:479!5*8/956784:74:!8486!,:58*&#39;*#45:/6&#39;89#5*6&#39;=87?5?!87!8!970.  သးဝပလဗယအသး0879=90 ,0, .    0.00#45*:&#39;=87<a href=""http://www.youtube.com/results?search_query=%23786"">#786</a>:!5,&#39;0 ,0..<br>.🏢,,0.., ,,,<br>,,,.  ဉ"
kEz_a3sEYVQ,MC没准备女子vvvvv没v
kEz_a3sEYVQ,00
9oY6Jx2yo60,တပ်ႉၸုမ်းမၢႆ7
9oY6Jx2yo60,หวังว่าสูเขานึกถึงคีนหน้าหลินช้อนบอดฮ่อง
9oY6Jx2yo60,❤❤❤❤
9oY6Jx2yo60,သင်လႆႈငိၼ်းဝႃႈssa  ပွတ်ႈၸၢၼ်းပွတ်းႁွင်ႇ ႁူမ်ႈၵၼ်ၼႆတႄႉ ၵူၼ်းမိူင်းတေၸူမ်းၵႃႈႁိုဝ်ဢၼ်ဝႃႈၼၼ်ႉ လၢတ်ႈပေႃးဢမ်ႇလႆႈယဝ်ႉၼႆ😊
9oY6Jx2yo60,ၸုမ်းၸူၼ်လူင်တႆးမႃးထႅင်ႈယဝ်ႈဝူၺ်း ။
vCOWElrP1nI,ဝဵင်းပင်လူင်ဢမ်ႇယွမ်း2400သေပွၵ်ႈ
F8wULX6xSn0,🙏🙏🙏
F8wULX6xSn0,😂😢
XTKHHr5iCQc,ယၢမ်းလဵဝ်ပဵၼ်ၵၢပ်ႈပၢၼ်ၶုၼ်ဢမ်ႇမီးသိၼ်ၵိၼ်မိူင်း  ၵၢပ်ႈၵူၼ်းလိူင်းသွၵ်ႈတႂ်ႈသွၵ်ႈၼိူဝ်  ၵၢပ်ႈသိူဝ်ယဵၼ်းႁႆၢႉပဵၼ်ၵူၼ်းတေတႆႇတူၼ်းႁႃဝၢၼ်ႈၶိုၼ်းယဝ်ႉ
f7C8EjmxrQQ,ပီႈၸႆၢးသႆၢမၢဝ်း မၼ်းတႆၢယဝ်ႉၶႃႈႁႃႉ ၸဵမ်မိူဝ်ႈလႂ်ၶႃႈလႃႇ
f7C8EjmxrQQ,ယၢမ်ႈယိၼ်းဝႃႈ လၢဝ်လၢဝ်ၼႆႉ ပဵၼ်ၸၢဝ်းၶိူဝ်း ဝ ၼႆ ၸွင်ႇၸႂ်ႈယူႇတေႉၶႃႈ။
3v9LsOLiVPU,good
3v9LsOLiVPU,สุดยอดครับ ไตยช่วยไตย
PCU4OGggIUk,မ်ႂႇသုင်ၶႃႈ ၸုမ်းၶၢဝ်ႇၽူတွႆႇႁွၵ်ႇ ယူႇဝဵင်းလိူဝ်ႇ ၶႃႈ။
